ชื่อ,รหัส,lat,lng
เมือง,01,18.796209,98.985741
เทศบาลตำบลสุเทพ,0108a,18.79265,98.93026
เทศบาลเมืองแม่เหียะ,0109a,18.744961,98.94339
เทศบาลตำบลช้างเผือก,0107a,18.82382,98.95015
,,,
แม่แตง,06,19.115891,98.945831
เทศบาลตำบลขี้เหล็ก,0603a,19.07559,98.91745
องค์การบริหารส่วนตำบลสบเปิง,0606b,19.10006,98.813187
องค์การบริหารส่วนตำบลสันป่ายาง,0608b,19.04673,98.866447
,,,
แม่ริม,07,18.914471,98.951019
เทศบาลตำบลสันโป่ง,0703a,18.953449,98.952339
องค์การบริหารส่วนตำบลห้วยทราย,0706b,18.96521,98.897568
เทศบาลตำบลเหมืองแก้ว,0711a,18.886209,98.985817
,,,
ดอยสะเก็ด,05,18.881571,99.157242
เทศบาลตำบลเชิงดอย,0501a,18.866666,99.133333
เทศบาลตำบลสันปูเลย,0502a,18.80493,99.069656
เทศบาลตำบลแม่โป่ง,0512a,18.835569,99.209152
,,,
หางดง,15,18.690041,98.914963
เทศบาลตำบลสันผักหวาน,1508a,18.71652,98.957024
เทศบาลตำบลหนองควาย,1509a,18.73163,98.920776
เทศบาลตำบลน้ำแพร่พัฒนา,1511a,18.709249,98.871193
,,,
สารภี,19,18.70562,99.039421
เทศบาลตำบลยางเนิ้ง,1901a,18.705308,99.039693
เทศบาลตำบลหนองแฝก,1906a,18.68821,99.017853
เทศบาลตำบลดอนแก้ว,1909a,18.69623,98.996078
,,,
แม่ออน,23,18.806089,99.311317
องค์การบริหารส่วนตำบลออนเหนือ,2301b,18.788991,99.252663
องค์การบริหารส่วนตำบลแม่ทา,2305b,18.59938,99.287621
องค์การบริหารส่วนตำบลบ้านสหกรณ์,2303b,18.813551,99.246513
,,,
สันทราย,14,18.856819,99.047462
เทศบาลตำบลหนองจ๊อม,1407a,18.851629,99.020622
เทศบาลตำบลสันป่าเปา,1405a,18.86158,99.086548
เทศบาลตำบลหนองแหย่ง,1406a,18.9098,99.105026
,,,
สันกำแพง,13,18.742081,99.103928
เทศบาลตำบลสันกำแพง,1301a,18.749573,99.116914
เทศบาลตำบลออนใต้,1306a,18.70071,99.223083
องค์การบริหารส่วนตำบลร้องวัวแดง,1303b,18.746389,99.178551
,,,
แม่อาย,10,20.055269,99.27211
องค์การบริหารส่วนตำบลต้นหมื้อ,1003b,19.953899,99.279587
องค์การบริหารส่วนตำบลแม่นาวาง,1004b,19.989361,99.402008
องค์การบริหารส่วนตำบลบ้านหลวง,1006b,19.871941,99.340813
,,,
ฝาง,09,19.89156,99.258553
องค์การบริหารส่วนตำบลแม่งอน,0904b,19.816481,99.08007
องค์การบริหารส่วนตำบลแม่สูน,0905b,19.852619,99.128761
เทศบาลตำบลสันทราย,0906a,19.878679,99.210037
,,,
ไชยปราการ,21,19.756491,99.139618
เทศบาลตำบลไชยปราการ,2100a,19.746448,99.129049
องค์การบริหารส่วนตำบลศรีดงเย็น,2102b,19.64481,99.181229
องค์การบริหารส่วนตำบลแม่ทะลบ,2103b,19.729321,99.251732
,,,
เชียงดาว,04,19.387871,98.978539
เทศบาลตำบลปิงโค้ง,0406a,19.516251,99.072746
เทศบาลตำบลแม่นะ,0404a,19.31584,98.954788
องค์การบริหารส่วนตำบลเชียงดาว,0401b,19.352825,98.96332
,,,
พร้าว,11,19.377159,99.203972
องค์การบริหารส่วนตำบลสันทราย,1105b,19.502621,99.208481
องค์การบริหารส่วนตำบลเขื่อนผาก,1108b,19.3209,99.177559
องค์การบริหารส่วนตำบลโหล่งขอด,1111b,19.08568,99.21434
,,,
เวียงแหง,20,19.53688,98.681229
องค์การบริหารส่วนตำบลเมืองแหง,2001b,19.554652,98.644923
องค์การบริหารส่วนตำบลเปียงหลวง,2002b,19.64747,98.580299
เทศบาลตำบลแสนไห,2003a,19.669411,98.707748
,,,
แม่แจ่ม,03,18.53367,98.386658
องค์การบริหารส่วนตำบลช่างเคิ่ง,0301b,18.537049,98.407457
เทศบาลตำบลท่าผา,0302a,18.48378,98.429619
องค์การบริหารส่วนตำบลกองแขก,0308b,18.35487,98.385071
,,,
ฮอด,16,18.180059,98.520287
เทศบาลตำบลบ่อหลวง,1604a,18.155411,98.368233
องค์การบริหารส่วนตำบลบ่อสลี,1605b,18.15811,98.244392
องค์การบริหารส่วนตำบลนาคอเรือ,1606b,18.036591,98.502861
,,,
ดอยเต่า,17,17.896919,98.705566
องค์การบริหารส่วนตำบลบ้านแอ่น,1704b,18.046141,98.621727
องค์การบริหารส่วนตำบลบงตัน,1705b,18.01329,98.662819
เทศบาลตำบลท่าเดื่อ - มืดกา,1702a,17.94659,98.577408
,,,
อมก๋อย,18,17.914841,98.339363
เทศบาลตำบลอมก๋อย,1801a,17.803327,98.362935
องค์การบริหารส่วนตำบลยางเปียง,1802b,17.69689,98.399361
,,,
ดอยหล่อ,24,18.485411,98.769798
เทศบาลตำบลยางคราม,2403a,18.562771,98.80806
เทศบาลตำบลสันติสุข,2404a,18.55751,98.73452
เทศบาลตำบลสองแคว,2402a,18.49617,98.832939
,,,
สันป่าตอง ,12,18.61595,98.877731
เทศบาลตำบลสันป่าตอง,1200a,18.627528,98.893828
เทศบาลตำบลยุหว่า,1201a,18.654887,98.923926
เทศบาลตำบลบ้านแม,1206a,18.636,98.840714
,,,
แม่วาง,22,18.6376,98.775581
องค์การบริหารส่วนตำบลบ้านกาด,2201b,18.603813,98.798514
องค์การบริหารส่วนตำบลทุ่งปี้,2202b,18.586,98.757797
องค์การบริหารส่วนตำบลดอนเปา,2205b,18.709181,98.776733
,,,
จอมทอง,02,18.50388,98.577133
เทศบาลตำบลบ้านหลวง,0203a,18.465851,98.651341
เทศบาลตำบลบ้านแปะ,0206a,18.243601,98.604691
องค์การบริหารส่วนตำบลสบเตี๊ยะ,0205b,18.34543,98.634201
,,,
สะเมิง ,08,18.83584,98.723251
องค์การบริหารส่วนตำบลสะเมิงเหนือ,0802b,18.98185,98.738167
องค์การบริหารส่วนตำบลแม่สาบ,0803b,18.94429,98.641533
องค์การบริหารส่วนตำบลบ่อแก้ว,0804b,18.852539,98.565132
,,,
กัลยาณิวัฒนา,25,19.069559,98.32811
องค์การบริหารส่วนตำบลแจ่มหลวง,2503b,18.985519,98.237823
องค์การบริหารส่วนตำบลบ้านจันทร์,2501b,19.077576,98.305023
องค์การบริหารส่วนตำบลแม่แดด,2502b,18.930981,98.377487