No.,th_word,en_word
01,เยื่อเมือกซีด,เยื่อเมือกซีด
02,เดินเซ,ataxia
03,ทวารหนักเปื้อน,vent_pasting
04,เกิดผื่นแดง,rash
05,ซึม/เหงา/ไม่กินอาหาร,depress/lossofappetite
06,จุดเลือดออกใต้ผิวหนัง,จุดเลือดออกใต้ผิวหนัง
07,น้ำลายฟูมปาก,hypesalivation
08,ขี้มีเลือดปน,hematemesis
09,กัด/ดุร้ายผิดปกติ,bitting/aggressive
10,แพร่ระบาดรวดเร็ว,widespread
11,มีตุ่มใส/แผลที่ปากหรือกีบหรือเต้านม,blister_like_sores_ on _ mouth_ teats_hooves
12,มีแผลในปาก,oral_ulcer
13,น้ำมูกเหนียวข้น,mucous_nasal_discharge
14,ขี้เหลวมีเลือดปน,bloody_diarrhea
15,คลำดูใต้ผิวหนังรู้สึกกรอบแกรบ,crepitant_flet_under_the_skin
16,ผิวหรือเยื่อเมือกที่ตาหรือปากมีสีเหลือง,juandice
17,ลูกตายแรกคลอด,stillbirth
18,ผิวหนังหยาบกร้าน/ขนหยอง,xerosis/ruffle_hair/feather
19,หนังตาบวม,swollen_eyelids
20,กระแตเวียน/เดินวน,circling
21,ไข่รูปร่างผิดปกติ,misshapen_egg
22,คอบวม/หน้าบวม,subcutaneous_swelling_of_head_and_neck/Facial_swelling
23,เลือกดำไหลออกทวาร,เลือกดำไหลออกทวาร
24,ตุ่มดำบนใบหน้า,scab_on_comb_and_wattles
25,ผอม,thin
26,ลุกไม่ขึ้น,weakness
27,มีตุ่มหนอง,pustule
28,ท้องเสีย,diarrhea
29,หน้าบวม,facial_swelling
30,ถ่ายเป็นเลือดมีกลิ่นคาว,hematochezia_with_foul_smelling
31,ตาลึกจม,shrunken_eye
32,ผสมติดยาก,infertility
33,ซูบผอม,cahexia
34,"มีตุ่มหนอง,ตุ่มดำ","มีตุ่มหนอง,ตุ่มดำ"
35,มีการตายในลูกสัตว์,มีการตายในลูกสัตว์
36,ป่วยตายเฉียบพลัน,sudden_death
37,ขาเกร็ง,paralyzed_leg
38,แท้งลูก,abortion
39,คอบวม,subcutaneous_swelling_of_head_and_neck
40,ขี้ขาว,watery_greenwish_diarrhea
41,ชัก,clonic_spasms
42,มีตุ่มน้ำใส/แผลที่ปากหรือกีบหรือเต้านม,blister_like_sores_ on _ mouth_ teats_hooves
43,งับอากาศ/แมลง,งับอากาศ/แมลง
44,เลือดออกจมูก,เลือดออกจมูก
45,น้ำลายไหลเจ็บ,hypersalivation_and_pain
46,หายใจลำบาก,dyspnea
47,"ไวต่อสิ่งเร้าเช่นตื่นแสง,ตื่นเสียง","ไวต่อสิ่งเร้าเช่นตื่นแสง,ตื่นเสียง"
48,กัดดุร้าย,bitting/aggressive
49,อ้าปากหายใจ,mouth_breathing
50,ไวต่อสิ่งเร้า,ไวต่อสิ่งเร้า
51,มีตุ่มใสหรือแผลที่ปากกีบ,blister_like_sores_ on _ mouth_ teats_hooves
52,กลืนไม่ได้,กลืนไม่ได้
53,ไข่ลดลง,egg_drop
54,เมื่อตายพบมีตุ่มหนองในซาก,เมื่อตายพบมีตุ่มหนองในซาก
55,อาเจียน,vomitting
56,ขี้มีกลิ่นเหม็นคาว,foul_smelling_feces
57,ไข้สูง/ซึม/ไม่กินอาหาร,high_fever/depress/lossofappetite
58,หายใจเสียงดัง,stridor
59,ตาแดง/มีน้ำตา,conjuntivitis/larcrimation
60,ตาแฉะ,wet_eye
61,ขนหยอง,ruffle_hair/feather
62,ต่อมน้ำเหลืองบวม,ต่อมน้ำเหลืองบวม
63,ไข้สูง,high_fever
64,ไอเรื้อรัง,ไอเรื้อรัง
65,น้ำลายฟูมปาก/กลืนน้ำลายลำบาก,hypesalivation/dysphagia
66,ขาเจ็บ,lameness
67,ฉี่เป็นสีเลือด,hematuria
68,อัมพาต,paralysis
69,ตาบวมปิด,swollen_eyelid
70,ตุ่มหนองที่ท้อง,ตุ่มหนองที่ท้อง
71,ตายเฉียบพลัน,sudden_death
72,ชักกระตุก,ชักกระตุก
73,มีจุด/ปื้นเลือดออกใต้ผิวหนัง,subcutaneous_petechial/ecchymotic_hemorrhage
74,น้ำมูกไหล,nasal_discharge
75,ขนร่วง,hair/feather_loss
76,เสียการทรงตัว,lossofequilibrium
77,ใต้ท้องมีตุ่มหนอง,ใต้ท้องมีตุ่มหนอง
78,ขี้เหลว,loose_feces
79,ตาแฉะ/ขี้ตาเกรอะ,ocular_discharge
80,ไอจาม,cough/sneezing
81,หายใจลำบาก/อ้าปากหายใจ,dyspnea/gasping
82,ขี้เหลวดำ,melena
83,อัณฑะบวม,อัณฑะบวม
84,ท้องอืด,flatulence
85,ผิวหนังเป็นสีม่วง,cyanoti_skin
86,คอบิด,torticollis
87,ข้อบวม,swollen_joint
88,หอบ,panting
89,ไอ,cough
90,ขี้มีมูกเลือด,cattharal_bloody_diarrhea
91,น้ำลายไหล,hypersalivation
92,แคระแกร็น,cahexia
93,แคระแกรน,cahexia
94,ตาแดง,conjuntivitis
95,หงอนเหนียง/แข้งมีสีม่วง,cyanotic_wattle_and_crop/leg
96,มีแผลลอก,abrasion
97,ผอมอย่างรวดเร็ว,emaciation
98,เกิดผื่นที่ผิวหนัง,skin_rash
99,มีเนื้อตาย,necrosis
100,ขี้เป็นก้อนแข็ง,hard_and_dry_feces
101,หลังโก่ง,kyphosis
102,ขนหยิกหยอง,ruffle_hair/feather
103,โตช้า,poor_ growth
104,เยื่อตาอักเสบ,conjunctivitis
105,หางตก,tail_drop
106,ท้องผูก,constipation
107,ตายแรกคลอดสูง,highly_stillbirth
108,ตากแรกคลอดสูง,highly_stillbirth
109,เป็นแผลตามข้อหรือร่องกีบ,wound_on_joint/hooves
110,หงอนสีม่วง,swollen_and_cyanotic_wattles
111,กระหายน้ำจัด,thirsty
112,อุจจาระมีกลิ่นเหม็นเน่า,foul_smelling_feces
113,อุจจาระมีเลือดปน,hematochezia
114,หายใจถี่,tachypnea
115,ไข้สูง/ซืม/ไม่กินอาหาร,ไข้สูง/ซืม/ไม่กินอาหาร
116,มีตุ่มน้ำใสที่ปาก,มีตุ่มน้ำใสที่ปาก
117,ผิวหนังหยาบกร้าน,ผิวหนังหยาบกร้าน
118,ไข้สูง/ซืม/ไม่กินอาหาร,ไข้สูง/ซืม/ไม่กินอาหาร
119,ไช่รูปร่างผิดปกติ,ไช่รูปร่างผิดปกติ
120,ไม่กินอาหาร,ไม่กินอาหาร
121,ไอกระแทก,ไอกระแทก
122,ซืม/เหงา/ไม่กินอาหาร,ซืม/เหงา/ไม่กินอาหาร
123,ซึม,ซึม
124,กลืนอาหารลำบาก,กลืนอาหารลำบาก